2026-09-18T10:38:11Z INFO Logging to /tmp/logs/update_2026-09-18T10-38-11Z.log.
2026-09-18T10:38:11Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-18T10:38:11Z INFO Processing 500 items (48787 already recorded).
2026-09-18T10:40:40Z INFO [39/500] 03ffe728-fd20-4af8-b9fe-14d03bbf47b9: Sackin index -0.0037; 7.6 s; peak memory 275 MiB.
2026-09-18T10:40:40Z INFO [40/500] 0400868d-ad7a-4bdc-896e-52a792d9236b: Sackin index -0.0696; 0.7 s; peak memory 275 MiB.
2026-09-18T10:40:41Z INFO [41/500] 0400bb6f-2f58-4b44-a88f-5ba75871c03d: Sackin index -0.0748; 0.8 s; peak memory 275 MiB.
2026-09-18T10:40:43Z INFO [42/500] 0401551e-3186-4d49-94f1-f7edd1ddffed: Sackin index -0.0704; 1.8 s; peak memory 275 MiB.
2026-09-18T10:40:44Z INFO [43/500] 04015b57-968f-4797-b8cc-8e8dbc4d31cb: Sackin index -0.0369; 1.4 s; peak memory 275 MiB.
2026-09-18T10:40:45Z INFO [44/500] 04015ef7-f418-439f-9f9b-344487ba73df: Sackin index -0.1349; 0.7 s; peak memory 275 MiB.
2026-09-18T10:40:50Z INFO [45/500] 040340f1-06fe-4707-af52-bb8a654fcb68: Sackin index -0.0302; 4.9 s; peak memory 275 MiB.
2026-09-18T10:40:55Z INFO [46/500] 04038432-88af-47b8-86a1-395da9e704ff: Sackin index -0.0341; 5.4 s; peak memory 275 MiB.
2026-09-18T10:40:56Z INFO [47/500] 04055079-d8e1-478c-ae84-c5927372c642: Sackin index -0.1356; 0.5 s; peak memory 275 MiB.
2026-09-18T10:40:57Z INFO [48/500] 04055f26-680f-4aa2-ac42-ae19538fa6b4: Sackin index -0.1349; 0.7 s; peak memory 275 MiB.
2026-09-18T10:41:01Z INFO [49/500] 0406089f-5198-4a86-b454-ac44d62a64aa: Sackin index -0.1362; 4.4 s; peak memory 275 MiB.
2026-09-18T10:41:02Z INFO [50/500] 0406321c-56c1-4ea8-b4cd-cfafa41afda8: Sackin index -0.1349; 0.7 s; peak memory 275 MiB.
2026-09-18T10:41:02Z INFO [50/500] 0406321c-56c1-4ea8-b4cd-cfafa41afda8: checkpointed 48837 records.
2026-09-18T10:41:03Z INFO [51/500] 0406474c-4b94-4954-bbc2-a38d1e5d4546: Sackin index -0.1254; 0.6 s; peak memory 275 MiB.
2026-09-18T10:41:03Z INFO [52/500] 0406e618-f3ef-4f9a-9a2c-355259429d5e: Sackin index -0.0702; 0.7 s; peak memory 275 MiB.
2026-09-18T10:41:16Z INFO [53/500] 04088a39-9b8c-4a1c-9f4f-609ed30558a5: Sackin index -0.1367; 12.3 s; peak memory 275 MiB.
2026-09-18T10:41:16Z INFO [54/500] 04091514-a070-45b5-9f6c-5b9285b06abc: Sackin index -0.1349; 0.6 s; peak memory 275 MiB.
2026-09-18T10:41:18Z INFO [55/500] 0409f816-1b0a-4cf2-835c-8fdf379b07e0: Sackin index -0.0660; 2.1 s; peak memory 275 MiB.
2026-09-18T10:41:19Z INFO [56/500] 040a16d3-04c1-4896-a86c-fc11027001bb: Sackin index -0.0728; 0.7 s; peak memory 275 MiB.
2026-09-18T10:41:20Z INFO [57/500] 040af6b3-261c-4a9a-af2d-09623042e8a3: Sackin index -0.1208; 0.5 s; peak memory 275 MiB.
2026-09-18T10:41:22Z INFO [58/500] 040b175a-4749-4170-ada0-0acd72898c83: Sackin index -0.0269; 2.6 s; peak memory 275 MiB.
