2026-09-19T18:26:23Z INFO Logging to /tmp/logs/update_2026-09-19T18-26-23Z.log.
2026-09-19T18:26:23Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-19T18:26:23Z INFO Processing 350 items (50643 already recorded).
2026-09-19T18:37:36Z INFO [39/350] 07e6f002-14c9-47cc-9e5d-0bdee9f9b589: Sackin index -0.1026; 2.0 s; peak memory 1076 MiB.
2026-09-19T18:37:38Z INFO [40/350] 07e70197-73a4-43ee-9fa5-3491e7e1a104: Sackin index -0.0696; 1.7 s; peak memory 1076 MiB.
2026-09-19T18:37:39Z INFO [41/350] 07e75673-9c3f-4571-acf6-cf8bd7f90f25: Sackin index -0.0673; 1.3 s; peak memory 1076 MiB.
2026-09-19T18:37:41Z INFO [42/350] 07e76d27-3d61-4007-8967-69b30a52e12d: Sackin index -0.0696; 1.7 s; peak memory 1076 MiB.
2026-09-19T18:37:43Z INFO [43/350] 07e7d6d0-9535-43d3-b53a-d4db6c09e785: Sackin index -0.1408; 1.8 s; peak memory 1076 MiB.
2026-09-19T18:37:45Z INFO [44/350] 07e826bd-fee8-4ce0-993c-18c5cab33cd1: Sackin index -0.0854; 2.5 s; peak memory 1076 MiB.
2026-09-19T18:37:47Z INFO [45/350] 07e8ad70-c4e7-4ccd-9897-b2c47e1f61b6: Sackin index -0.1349; 1.5 s; peak memory 1076 MiB.
2026-09-19T18:37:48Z INFO [46/350] 07e8eb04-462d-4275-a79a-4c15e5bd0d8d: Sackin index -0.1602; 1.5 s; peak memory 1076 MiB.
2026-09-19T18:37:50Z INFO [47/350] 07e903fb-1af1-4317-b009-16df83a10696: Sackin index -0.0275; 2.2 s; peak memory 1076 MiB.
2026-09-19T18:37:51Z INFO [48/350] 07e907be-401d-40fe-bb53-a76b8953fdb5: Sackin index -0.1658; 1.1 s; peak memory 1076 MiB.
2026-09-19T18:37:55Z INFO [49/350] 07ea84c1-7089-4d42-a37a-a9b7b0c2d440: Sackin index -0.0693; 3.1 s; peak memory 1076 MiB.
2026-09-19T18:38:13Z INFO [50/350] 07eb2d3c-bb67-4d61-b06c-988dc383a726: Sackin index -0.0122; 18.8 s; peak memory 1076 MiB.
2026-09-19T18:38:14Z INFO [50/350] 07eb2d3c-bb67-4d61-b06c-988dc383a726: checkpointed 50693 records.
2026-09-19T18:38:17Z INFO [51/350] 07eb9911-5289-4da5-b5b8-aeba15b96efb: Sackin index -0.0699; 3.1 s; peak memory 1076 MiB.
2026-09-19T18:38:18Z INFO [52/350] 07ebb593-b3e4-48d8-aa58-a8541f7922bc: Sackin index -0.0702; 1.7 s; peak memory 1076 MiB.
2026-09-19T18:38:21Z INFO [53/350] 07ebf50a-ceb4-41a2-ac5a-d51d4529daf7: Sackin index -0.1938; 2.9 s; peak memory 1076 MiB.
2026-09-19T18:38:24Z INFO [54/350] 07ebfaf9-8b60-45bf-b8ff-12e1087da13a: Sackin index -0.0728; 2.4 s; peak memory 1076 MiB.
2026-09-19T18:38:26Z INFO [55/350] 07ecaebe-a334-4d64-a85b-1dd78e7fb73f: Sackin index -0.1044; 2.0 s; peak memory 1076 MiB.
2026-09-19T18:38:27Z INFO [56/350] 07ed5dc5-81b4-4957-93d4-26428a7babe0: Sackin index -0.1349; 1.3 s; peak memory 1076 MiB.
2026-09-19T18:38:37Z INFO [57/350] 07ef4b1c-90f6-4345-9025-06878e70670e: Sackin index -0.0156; 9.8 s; peak memory 1076 MiB.
2026-09-19T18:38:38Z INFO [58/350] 07f02a84-aebc-4588-b537-a99d05bd8b10: Sackin index -0.1349; 1.3 s; peak memory 1076 MiB.
2026-09-19T18:38:39Z INFO [59/350] 07f0f647-32c1-49f0-a7e2-81eb834ac508: Sackin index -0.1349; 1.3 s; peak memory 1076 MiB.
2026-09-19T18:38:41Z INFO [60/350] 07f1136e-f3c6-42fd-a7e4-53f1bff64be9: Sackin index -0.0375; 1.9 s; peak memory 1076 MiB.
2026-09-19T18:38:43Z INFO [61/350] 07f2c8e2-eb28-4219-a83e-a6256d46b474: Sackin index -0.1349; 1.3 s; peak memory 1076 MiB.
