2026-09-21T12:05:01Z INFO Logging to /tmp/logs/update_2026-09-21T12-05-01Z.log.
2026-09-21T12:05:01Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-21T12:05:01Z INFO Processing 367 items (52499 already recorded).
2026-09-21T12:06:54Z INFO [39/367] 0bd5c22c-21a9-434c-a899-f5f658bb0413: Sackin index -0.0702; 1.0 s; peak memory 197 MiB.
2026-09-21T12:06:55Z INFO [40/367] 0bd689c6-8085-4f00-848d-55ec8dc3e76f: Sackin index -0.0881; 1.1 s; peak memory 197 MiB.
2026-09-21T12:06:56Z INFO [41/367] 0bd723d1-19b6-467f-8022-f1dbc32c4b43: Sackin index -0.1349; 0.8 s; peak memory 197 MiB.
2026-09-21T12:06:59Z INFO [42/367] 0bd774c0-db6d-49a6-86c9-39356ebacc4d: Sackin index -0.0681; 2.6 s; peak memory 197 MiB.
2026-09-21T12:07:00Z INFO [43/367] 0bd77fbd-e33f-4363-92ef-adfbc104d939: Sackin index -0.0702; 1.1 s; peak memory 197 MiB.
2026-09-21T12:07:01Z INFO [44/367] 0bd7b8ca-5f3a-4006-a80c-0ccaa10ee260: Sackin index -0.1349; 0.9 s; peak memory 197 MiB.
2026-09-21T12:07:02Z INFO [45/367] 0bd8a181-8f54-4aa7-beb5-d6c066d7fe19: Sackin index -0.1015; 0.8 s; peak memory 197 MiB.
2026-09-21T12:07:04Z INFO [46/367] 0bd98929-2cdb-4fc6-a7e4-8eaeac2ea978: Sackin index -0.1938; 2.0 s; peak memory 197 MiB.
2026-09-21T12:07:05Z INFO [47/367] 0bd9d269-df68-4864-883f-3bcb15551fc7: Sackin index -0.0483; 1.3 s; peak memory 197 MiB.
2026-09-21T12:07:07Z INFO [48/367] 0bda658b-44e1-440b-b57a-773509d7a5ee: Sackin index -0.0365; 2.1 s; peak memory 197 MiB.
2026-09-21T12:07:08Z INFO [49/367] 0bda89c4-99a8-47fd-9322-fe4c3af9fce6: Sackin index -0.1704; 0.8 s; peak memory 197 MiB.
2026-09-21T12:07:29Z INFO [50/367] 0bdb5005-a976-4724-b1d6-8d85d9755053: Sackin index -0.1367; 21.4 s; peak memory 197 MiB.
2026-09-21T12:07:29Z INFO [50/367] 0bdb5005-a976-4724-b1d6-8d85d9755053: checkpointed 52549 records.
2026-09-21T12:07:30Z INFO [51/367] 0bdb884b-79a5-4290-abc4-9448098db9d1: Sackin index -0.0702; 1.0 s; peak memory 197 MiB.
2026-09-21T12:07:32Z INFO [52/367] 0bdc44aa-d27a-4935-a3fe-60f302fa798e: Sackin index -0.0752; 1.6 s; peak memory 197 MiB.
2026-09-21T12:07:34Z INFO [53/367] 0bdc4685-162c-4ede-ae70-5424ca2f549c: Sackin index -0.0676; 1.8 s; peak memory 197 MiB.
2026-09-21T12:07:34Z INFO [54/367] 0bdd04b3-0270-4289-a8e9-0a50898cf708: Sackin index -0.0702; 0.9 s; peak memory 197 MiB.
2026-09-21T12:07:36Z INFO [55/367] 0bdd54c4-f1b7-4d4b-8680-693c9077917f: Sackin index -0.0728; 1.1 s; peak memory 197 MiB.
2026-09-21T12:07:37Z INFO [56/367] 0bde8a3e-7ce7-4e76-a67c-b85b4faed006: Sackin index -0.0709; 1.0 s; peak memory 197 MiB.
