2026-09-18T22:20:10Z INFO Logging to /tmp/logs/update_2026-09-18T22-20-10Z.log.
2026-09-18T22:20:10Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-18T22:20:10Z INFO Processing 368 items (49901 already recorded).
2026-09-18T22:34:26Z INFO [91/368] 067803a4-c8cb-4420-a04f-97858aa1dcdb: Sackin index -0.0728; 1.7 s; peak memory 1083 MiB.
2026-09-18T22:34:29Z INFO [92/368] 067899a7-e8d6-40d0-a8c7-5abeb032299d: Sackin index -0.0699; 3.1 s; peak memory 1083 MiB.
2026-09-18T22:34:30Z INFO [93/368] 0678dd83-d6c0-4fa0-9b12-11a77f62458f: Sackin index -0.1380; 1.5 s; peak memory 1083 MiB.
2026-09-18T22:34:33Z INFO [94/368] 0679437d-0e7c-424c-a8ee-5a23e63ae4a3: Sackin index -0.0699; 2.8 s; peak memory 1083 MiB.
2026-09-18T22:34:34Z INFO [95/368] 0679a6e6-4c44-4e66-ba4e-f1f3922cd155: Sackin index -0.1248; 1.3 s; peak memory 1083 MiB.
2026-09-18T22:34:41Z INFO [96/368] 067ab4db-be11-46c0-9988-ae251e4d92b4: Sackin index -0.1186; 6.9 s; peak memory 1083 MiB.
2026-09-18T22:34:43Z INFO [97/368] 067b1310-aa5a-4e65-967f-6f05df4993c3: Sackin index -0.1349; 1.2 s; peak memory 1083 MiB.
2026-09-18T22:34:45Z INFO [98/368] 067e0869-88d7-4858-8671-64bd9a4718b3: Sackin index -0.0369; 2.3 s; peak memory 1083 MiB.
2026-09-18T22:34:47Z INFO [99/368] 067e2a15-cd15-4f21-90d7-2368247d0440: Sackin index -0.0681; 2.4 s; peak memory 1083 MiB.
2026-09-18T22:34:49Z INFO [100/368] 067e99ec-def6-4ea4-a48f-4110ac40a042: Sackin index -0.1349; 1.3 s; peak memory 1083 MiB.
2026-09-18T22:34:49Z INFO [100/368] 067e99ec-def6-4ea4-a48f-4110ac40a042: checkpointed 50001 records.
2026-09-18T22:34:50Z INFO [101/368] 067ea211-38bd-4f0a-87d4-107267bd9b3b: Sackin index -0.0398; 1.6 s; peak memory 1083 MiB.
2026-09-18T22:34:52Z INFO [102/368] 067ea819-e5c4-418b-b391-ec5d803bbbc6: Sackin index -0.0696; 1.4 s; peak memory 1083 MiB.
2026-09-18T22:34:57Z INFO [103/368] 067f8a20-3286-4b8a-aab5-97caa767bf14: Sackin index -0.0403; 5.9 s; peak memory 1083 MiB.
2026-09-18T22:34:59Z INFO [104/368] 06800a34-27c5-4b64-bd5b-af269ad51f88: Sackin index -0.1349; 1.2 s; peak memory 1083 MiB.
2026-09-18T22:35:00Z INFO [105/368] 0680a097-c76e-4382-8258-357f58305cad: Sackin index -0.0709; 1.5 s; peak memory 1083 MiB.
2026-09-18T22:35:02Z INFO [106/368] 0681337e-3295-4bf2-bca6-4d88b3174b1c: Sackin index -0.0728; 2.0 s; peak memory 1083 MiB.
2026-09-18T22:35:04Z INFO [107/368] 06822e81-78a2-489b-8385-98ed313a0bc1: Sackin index -0.1358; 1.4 s; peak memory 1083 MiB.
2026-09-18T22:35:05Z INFO [108/368] 06823506-5894-477c-b550-f647813328bb: Sackin index -0.0702; 1.7 s; peak memory 1083 MiB.
2026-09-18T22:35:07Z INFO [109/368] 06839373-286c-4716-b9cd-ed9dbff95b70: Sackin index -0.1349; 1.2 s; peak memory 1083 MiB.
2026-09-18T22:35:14Z INFO [110/368] 06840152-7a68-4e42-a305-47635ddf2804: Sackin index -0.0413; 7.0 s; peak memory 1083 MiB.
2026-09-18T22:36:58Z INFO [111/368] 068544af-4a80-4c85-aacc-7f424bdddebe: Sackin index -0.0414; 104.9 s; peak memory 1083 MiB.
2026-09-18T22:37:00Z INFO [112/368] 0685cdec-9137-4d51-8a2c-7a03c41c3602: Sackin index -0.0728; 1.7 s; peak memory 1083 MiB.
2026-09-18T22:37:02Z INFO [113/368] 0685f8af-b619-44f4-97f9-730de0f0a0cc: Sackin index -0.1009; 1.4 s; peak memory 1083 MiB.
2026-09-18T22:37:03Z INFO [114/368] 06865f7a-9300-491f-b453-0579e039226d: Sackin index -0.0728; 1.8 s; peak memory 1083 MiB.
2026-09-18T22:37:04Z INFO [115/368] 0686d53a-7143-445f-b9b3-2db75fb0174c: Sackin index -0.1349; 1.1 s; peak memory 1083 MiB.
2026-09-18T22:37:06Z INFO [116/368] 0689954e-c04d-4da7-9c55-ffef5688914f: Sackin index -0.1658; 1.1 s; peak memory 1083 MiB.
2026-09-18T22:37:07Z INFO [117/368] 0689bdf1-3d01-4a85-81bb-5e7893a8c61f: Sackin index -0.1248; 1.3 s; peak memory 1083 MiB.
2026-09-18T22:37:08Z INFO [118/368] 068b1166-fad3-48d9-aeb9-f0c357b7e071: Sackin index -0.0696; 1.4 s; peak memory 1083 MiB.
2026-09-18T22:37:09Z INFO [119/368] 068b739d-8203-494f-ac0a-62bac0e9c629: Sackin index -0.1658; 1.1 s; peak memory 1083 MiB.
2026-09-18T22:37:11Z INFO [120/368] 068b9f1c-70d1-4bfe-a128-d3eb2266b2f5: Sackin index -0.0728; 1.6 s; peak memory 1083 MiB.
2026-09-18T22:37:19Z INFO [121/368] 068c3275-84c4-4fbe-b2ae-3f3b783d6ae4: Sackin index -0.0940; 8.2 s; peak memory 1083 MiB.
2026-09-18T22:37:20Z INFO [122/368] 068d32d5-549d-4bd9-a382-8614eb35bb41: Sackin index -0.1239; 1.1 s; peak memory 1083 MiB.
