2026-09-20T18:30:37Z INFO Logging to /tmp/logs/update_2026-09-20T18-30-37Z.log.
2026-09-20T18:30:37Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-20T18:30:37Z INFO Processing 363 items (51767 already recorded).
2026-09-20T18:31:48Z INFO [39/363] 0a3effe8-0601-4c43-a298-07ee9e1d09b3: Sackin index -0.0695; 1.9 s; peak memory 154 MiB.
2026-09-20T18:31:53Z INFO [40/363] 0a3f2d6f-1226-4bee-a58c-17978c6ade8f: Sackin index -0.0134; 5.3 s; peak memory 155 MiB.
2026-09-20T18:31:54Z INFO [41/363] 0a408e71-759b-4069-99e6-a63f58264ec6: Sackin index -0.0728; 0.7 s; peak memory 155 MiB.
2026-09-20T18:31:55Z INFO [42/363] 0a413005-4271-4cb0-a1f4-33ffe5d2d7dc: Sackin index -0.0728; 0.9 s; peak memory 155 MiB.
2026-09-20T18:31:56Z INFO [43/363] 0a4170e6-458e-4516-8394-e44c61d7c5af: Sackin index -0.1349; 0.6 s; peak memory 155 MiB.
2026-09-20T18:33:03Z INFO [44/363] 0a42a433-dd02-4fb3-a839-47710f124011: Sackin index -0.0573; 67.8 s; peak memory 273 MiB.
2026-09-20T18:33:05Z INFO [45/363] 0a432cf3-408a-4876-8592-0d31ad575e08: Sackin index -0.0350; 1.3 s; peak memory 273 MiB.
2026-09-20T18:33:05Z INFO [46/363] 0a44472d-9610-4df2-8831-af43bb5f6a52: Sackin index -0.1349; 0.6 s; peak memory 273 MiB.
2026-09-20T18:33:06Z INFO [47/363] 0a44865e-c13e-4a9e-b8f3-304dd87406be: Sackin index -0.1448; 0.5 s; peak memory 273 MiB.
2026-09-20T18:33:06Z INFO [48/363] 0a4493eb-6b5a-4235-a497-0706276e8289: Sackin index -0.0702; 0.8 s; peak memory 273 MiB.
2026-09-20T18:33:08Z INFO [49/363] 0a44b2c4-8304-4209-8268-ccc756155ce0: Sackin index -0.0676; 1.2 s; peak memory 273 MiB.
2026-09-20T18:33:08Z INFO [50/363] 0a462b0e-ff18-40a6-a4c6-f9c3bfea73c0: Sackin index -0.0709; 0.7 s; peak memory 273 MiB.
2026-09-20T18:33:09Z INFO [50/363] 0a462b0e-ff18-40a6-a4c6-f9c3bfea73c0: checkpointed 51817 records.
2026-09-20T18:33:09Z INFO [51/363] 0a46d490-5c46-4d7c-b737-97c0c62d09f0: Sackin index -0.1349; 0.6 s; peak memory 273 MiB.
2026-09-20T18:33:10Z INFO [52/363] 0a46ecef-ca86-4870-beae-fe161f2b46b4: Sackin index -0.1000; 0.8 s; peak memory 273 MiB.
2026-09-20T18:33:11Z INFO [53/363] 0a479461-f4ec-424f-a9c9-ccb1627fad4a: Sackin index -0.1709; 1.2 s; peak memory 273 MiB.
2026-09-20T18:38:22Z INFO [54/363] 0a47aa75-b2ab-4f35-8acf-b1734b22df8a: Sackin index -0.0691; 311.3 s; peak memory 1126 MiB.
2026-09-20T18:38:30Z INFO [55/363] 0a486592-6b4d-4cd4-a0d7-f3ec3e3a061d: Sackin index -0.0141; 7.5 s; peak memory 1126 MiB.
2026-09-20T18:38:31Z INFO [56/363] 0a487b28-4673-4a1a-a316-82eb7d51eae1: Sackin index -0.1380; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:38:44Z INFO [57/363] 0a4891d9-d457-401f-95fd-673fcdae3461: Sackin index -0.0142; 12.9 s; peak memory 1126 MiB.
2026-09-20T18:38:45Z INFO [58/363] 0a48b05f-a1b9-43d0-977a-054ee4e293b5: Sackin index -0.0681; 1.2 s; peak memory 1126 MiB.
2026-09-20T18:38:55Z INFO [59/363] 0a4992da-91fd-4ed4-aed5-79290becc1dd: Sackin index -0.0167; 10.4 s; peak memory 1126 MiB.
2026-09-20T18:38:56Z INFO [60/363] 0a4a1fc5-07a6-46a9-bdc6-bbd8a6c36b44: Sackin index -0.0375; 1.0 s; peak memory 1126 MiB.
2026-09-20T18:38:57Z INFO [61/363] 0a4a36a4-ee0e-46f5-9378-a7397376d7ee: Sackin index -0.1248; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:38:58Z INFO [62/363] 0a4a4498-aeff-4833-9363-0387e2331277: Sackin index -0.1349; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:38:58Z INFO [63/363] 0a4a7354-988d-48aa-8cad-3f4afa835834: Sackin index -0.0996; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:38:59Z INFO [64/363] 0a4b0eb0-937b-46c7-a7b3-73d22224aae6: Sackin index -0.0369; 1.0 s; peak memory 1126 MiB.
2026-09-20T18:39:00Z INFO [65/363] 0a4c8a9c-f33c-4cf2-8a74-54acd3dba547: Sackin index -0.0709; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:39:01Z INFO [66/363] 0a4cf08d-895b-476f-a400-357b580693f9: Sackin index -0.1224; 1.2 s; peak memory 1126 MiB.
2026-09-20T18:39:02Z INFO [67/363] 0a4d68eb-4086-411c-a19d-218416a16b5b: Sackin index -0.0728; 0.9 s; peak memory 1126 MiB.
2026-09-20T18:39:03Z INFO [68/363] 0a4d896f-d0cb-416c-92b3-31b109ce8bdc: Sackin index -0.1692; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:39:04Z INFO [69/363] 0a4d9257-ff17-4774-8e47-ab872e2e007f: Sackin index -0.0275; 0.9 s; peak memory 1126 MiB.
2026-09-20T18:39:06Z INFO [70/363] 0a4e34e8-e474-46f6-9e9e-a7365a2dc3c6: Sackin index -0.0660; 1.8 s; peak memory 1126 MiB.
2026-09-20T18:39:09Z INFO [71/363] 0a4e94bb-17d0-4462-9458-7fb36094b2c4: Sackin index -0.0253; 3.4 s; peak memory 1126 MiB.
2026-09-20T18:39:10Z INFO [72/363] 0a4ecbe7-9b65-46a7-8642-f6debdcd8341: Sackin index -0.0752; 1.2 s; peak memory 1126 MiB.
2026-09-20T18:39:11Z INFO [73/363] 0a4f2257-66c4-4a0b-a413-fedf26ff4387: Sackin index -0.1349; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:39:12Z INFO [74/363] 0a4fe092-2727-440f-87d8-e128adf905d9: Sackin index -0.0728; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:39:12Z INFO [75/363] 0a50015e-8d46-4c65-902a-b56fe7749210: Sackin index -0.1349; 0.5 s; peak memory 1126 MiB.
2026-09-20T18:39:13Z INFO [76/363] 0a500882-ed04-4f9e-9d7e-a0685158f67b: Sackin index -0.1349; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:39:18Z INFO [77/363] 0a503a89-c8c5-4ff2-a0f7-1c9c5abc2bc8: Sackin index -0.0216; 5.0 s; peak memory 1126 MiB.
2026-09-20T18:39:18Z INFO [78/363] 0a515ee3-452f-4bb3-a29b-ce478b101fff: Sackin index -0.1349; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:39:19Z INFO [79/363] 0a52de7a-c40e-4a57-9884-155936d34b6f: Sackin index -0.0702; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:39:24Z INFO [80/363] 0a53bfbc-2c9c-49d4-a0ff-143bae8a1d93: Sackin index -0.0221; 4.9 s; peak memory 1126 MiB.
2026-09-20T18:39:25Z INFO [81/363] 0a548989-fea2-4f84-b7d2-fec11f2b2e46: Sackin index -0.0665; 1.2 s; peak memory 1126 MiB.
2026-09-20T18:39:27Z INFO [82/363] 0a56b867-5c3e-4e52-aea0-c506489bed69: Sackin index -0.0317; 2.1 s; peak memory 1126 MiB.
2026-09-20T18:39:28Z INFO [83/363] 0a56cee9-3567-40e0-89db-3c21841a27a9: Sackin index -0.1567; 0.5 s; peak memory 1126 MiB.
2026-09-20T18:39:29Z INFO [84/363] 0a58bb1e-432d-440b-8e5d-460cbc8c120a: Sackin index -0.1000; 0.9 s; peak memory 1126 MiB.
2026-09-20T18:39:29Z INFO [85/363] 0a598248-23db-455d-86e1-4b2e0eaf8056: Sackin index -0.1658; 0.4 s; peak memory 1126 MiB.
2026-09-20T18:39:30Z INFO [86/363] 0a599d6c-4983-4f03-90bd-2fb0c1adb335: Sackin index -0.0702; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:39:30Z INFO [87/363] 0a59ac6f-d869-43d8-a5eb-0e3d17922e96: Sackin index -0.1198; 0.8 s; peak memory 1126 MiB.
