2026-09-18T15:53:56Z INFO Logging to /tmp/logs/update_2026-09-18T15-53-56Z.log.
2026-09-18T15:53:56Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-18T15:53:56Z INFO Processing 500 items (49287 already recorded).
2026-09-18T15:55:51Z INFO [39/500] 052512fe-e31d-459c-ae39-73d2ff05f82d: Sackin index -0.1234; 1.9 s; peak memory 141 MiB.
2026-09-18T15:55:53Z INFO [40/500] 052546b7-3b2f-40ee-82f3-f4a3d36c268c: Sackin index -0.0376; 1.8 s; peak memory 141 MiB.
2026-09-18T15:55:57Z INFO [41/500] 0525811c-61ea-4c29-a3af-55323005658e: Sackin index -0.0933; 3.6 s; peak memory 141 MiB.
2026-09-18T15:55:59Z INFO [42/500] 0525dbb9-d22d-4e51-a108-34eed0f57f87: Sackin index -0.1938; 2.8 s; peak memory 141 MiB.
2026-09-18T15:56:01Z INFO [43/500] 052647fd-e28f-44d5-a7c1-8074f22757ab: Sackin index -0.1602; 1.3 s; peak memory 141 MiB.
2026-09-18T15:56:03Z INFO [44/500] 05264de3-8097-44dc-bd31-e104002edbda: Sackin index -0.0728; 2.0 s; peak memory 141 MiB.
2026-09-18T15:56:04Z INFO [45/500] 0526a3e7-40c2-41af-8bf5-76ef6ea64e83: Sackin index -0.1349; 1.4 s; peak memory 141 MiB.
2026-09-18T16:23:14Z INFO [46/500] 0526a42c-d2a3-49bf-98ed-f858a216e6f0: Sackin index -0.0307; 1629.7 s; peak memory 1087 MiB.
2026-09-18T16:23:15Z INFO [47/500] 0526c308-5dd4-44ee-bd02-ea610ed4965c: Sackin index -0.0709; 1.7 s; peak memory 1087 MiB.
2026-09-18T16:23:17Z INFO [48/500] 05272907-eac1-4083-b709-f71fb2b4429d: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:23:18Z INFO [49/500] 0527701a-2f59-40a3-908f-7e6cf134dcc9: Sackin index -0.1602; 1.5 s; peak memory 1087 MiB.
2026-09-18T16:23:22Z INFO [50/500] 0528b3c0-1d48-4ce8-8955-89c9127906c4: Sackin index -0.0869; 3.6 s; peak memory 1087 MiB.
2026-09-18T16:23:22Z INFO [50/500] 0528b3c0-1d48-4ce8-8955-89c9127906c4: checkpointed 49337 records.
2026-09-18T16:23:28Z INFO [51/500] 05294673-6cce-4a0f-ae49-94d839dd9be1: Sackin index -0.0403; 5.8 s; peak memory 1087 MiB.
2026-09-18T16:23:29Z INFO [52/500] 0529820d-d9b4-406d-8272-cdbe86f20be8: Sackin index -0.1658; 1.2 s; peak memory 1087 MiB.
2026-09-18T16:23:31Z INFO [53/500] 0529b167-b311-4838-9146-2affc1d70758: Sackin index -0.0702; 1.8 s; peak memory 1087 MiB.
2026-09-18T16:23:33Z INFO [54/500] 052a2e40-d431-4c8f-9f17-34b2c3d2b495: Sackin index -0.0728; 2.2 s; peak memory 1087 MiB.
2026-09-18T16:23:35Z INFO [55/500] 052a35af-2ecf-4cd8-a080-030515bec6c8: Sackin index -0.0375; 1.8 s; peak memory 1087 MiB.
2026-09-18T16:24:39Z INFO [56/500] 052acef7-8603-4d12-a7e8-549c8edb94f8: Sackin index -0.0174; 64.1 s; peak memory 1087 MiB.
2026-09-18T16:24:40Z INFO [57/500] 052ca61b-e2d2-4439-8cb3-5c726cfcc2e8: Sackin index -0.1303; 1.1 s; peak memory 1087 MiB.
2026-09-18T16:24:41Z INFO [58/500] 052d7264-d393-4418-845e-0eb4b77c4357: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:24:46Z INFO [59/500] 052d7c98-bc6b-442f-b6b4-0d581a717cbc: Sackin index -0.0695; 4.2 s; peak memory 1087 MiB.
2026-09-18T16:24:47Z INFO [60/500] 052e0351-cf13-4156-b41f-8fd1206866a5: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:24:48Z INFO [61/500] 052ead5a-ce14-41cc-9e89-30451ee32c87: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:24:50Z INFO [62/500] 052f0be5-f546-49b7-af9e-80941a76e589: Sackin index -0.1658; 1.3 s; peak memory 1087 MiB.
2026-09-18T16:24:51Z INFO [63/500] 052f14e3-dd9e-46ac-a852-0bcce7e0bb84: Sackin index -0.0702; 1.7 s; peak memory 1087 MiB.
2026-09-18T16:24:53Z INFO [64/500] 052fbc3f-4ce6-4ec8-ace8-b490212687c3: Sackin index -0.1349; 1.3 s; peak memory 1087 MiB.
2026-09-18T16:24:54Z INFO [65/500] 05301c4c-539b-421a-8be0-102e6fe39d6c: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:24:56Z INFO [66/500] 05301e4d-6b77-43ac-a8ae-ecfca7a66bd5: Sackin index -0.0728; 2.1 s; peak memory 1087 MiB.
2026-09-18T16:24:59Z INFO [67/500] 05308207-db13-4831-b969-31455895c2b5: Sackin index -0.0365; 2.7 s; peak memory 1087 MiB.
2026-09-18T16:25:01Z INFO [68/500] 05318185-0f03-4931-9762-7c8c16b57d9d: Sackin index -0.0702; 1.9 s; peak memory 1087 MiB.
2026-09-18T16:25:03Z INFO [69/500] 0531a2ba-291b-4607-92fc-23d17a8ea611: Sackin index -0.0881; 1.9 s; peak memory 1087 MiB.
2026-09-18T16:25:06Z INFO [70/500] 0531f2b6-d871-4cf5-bfa4-8cb4674835e2: Sackin index -0.0676; 3.1 s; peak memory 1087 MiB.
2026-09-18T16:25:07Z INFO [71/500] 0531fdd0-9e41-4fa9-abfe-6498a6a804f1: Sackin index -0.1658; 1.1 s; peak memory 1087 MiB.
2026-09-18T16:25:09Z INFO [72/500] 05328b9e-33fa-4484-bd72-10ea83b2bfcf: Sackin index -0.0709; 1.8 s; peak memory 1087 MiB.
2026-09-18T16:25:10Z INFO [73/500] 0532c216-8987-49bf-af2b-6616ac7fd50d: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:25:12Z INFO [74/500] 0532fa88-4a06-4d1f-82d9-cff8add983ee: Sackin index -0.0702; 2.0 s; peak memory 1087 MiB.
2026-09-18T16:25:14Z INFO [75/500] 053312d4-a28b-4274-9601-f3fc6662ce44: Sackin index -0.0383; 1.6 s; peak memory 1087 MiB.
2026-09-18T16:25:15Z INFO [76/500] 05331724-3958-4972-8787-f386d6aac2ca: Sackin index -0.2000; 1.1 s; peak memory 1087 MiB.
2026-09-18T16:25:16Z INFO [77/500] 05335dcd-bcd5-4f7b-ad42-7bffc834d203: Sackin index -0.1239; 1.3 s; peak memory 1087 MiB.
2026-09-18T16:25:17Z INFO [78/500] 0533b451-acae-4130-8015-21720ba92705: Sackin index -0.1349; 1.3 s; peak memory 1087 MiB.
2026-09-18T16:25:20Z INFO [79/500] 0533de9a-b3ca-496b-ad6a-d02e1fb11887: Sackin index -0.0275; 2.2 s; peak memory 1087 MiB.
2026-09-18T16:25:31Z INFO [80/500] 053447c0-8abf-43ef-ae7e-7f52021beead: Sackin index -0.0171; 11.3 s; peak memory 1087 MiB.
2026-09-18T16:25:33Z INFO [81/500] 0534842f-40ac-49bd-9ca4-3134bab0c720: Sackin index -0.0375; 2.0 s; peak memory 1087 MiB.
2026-09-18T16:25:34Z INFO [82/500] 0534931a-a056-4bea-b073-9d28a32ab220: Sackin index -0.1716; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:25:57Z INFO [83/500] 0534b717-ecca-42f9-9b78-4b921a630c07: Sackin index -0.0120; 22.8 s; peak memory 1087 MiB.
2026-09-18T16:25:59Z INFO [84/500] 0534d647-b251-4c93-a4b0-7bdacd222888: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:26:03Z INFO [85/500] 0534e10e-a5cb-4a85-88b0-f85277a19f7a: Sackin index -0.0660; 3.9 s; peak memory 1087 MiB.
2026-09-18T16:26:14Z INFO [86/500] 0535ab9a-b55b-4c56-a725-6a598b27f9dc: Sackin index -0.0235; 11.0 s; peak memory 1087 MiB.
2026-09-18T16:26:17Z INFO [87/500] 0536bb35-f4ca-4928-a726-995533256bed: Sackin index -0.0722; 3.2 s; peak memory 1087 MiB.
2026-09-18T16:26:19Z INFO [88/500] 0536f78a-4c24-481f-b0de-a47ddc0e240f: Sackin index -0.0382; 1.9 s; peak memory 1087 MiB.
2026-09-18T16:26:20Z INFO [89/500] 0536f82f-3a52-4840-a8d2-bd855ef45a68: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:27:17Z INFO [90/500] 0537e742-a2f6-4fee-982d-075f193e8b26: Sackin index -0.1144; 57.0 s; peak memory 1087 MiB.
2026-09-18T16:27:19Z INFO [91/500] 05385e38-01e3-49b1-b675-ff1cfd1dd57c: Sackin index -0.0991; 1.7 s; peak memory 1087 MiB.
2026-09-18T16:27:20Z INFO [92/500] 05389890-108a-4f52-bb3d-10945a9c22ca: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:27:33Z INFO [93/500] 0538d570-0c23-4981-b1b8-138227fb5ace: Sackin index -0.0120; 13.3 s; peak memory 1087 MiB.
2026-09-18T16:27:35Z INFO [94/500] 053a5533-674f-4d37-b15b-f9ff34a57499: Sackin index -0.0728; 1.7 s; peak memory 1087 MiB.
2026-09-18T16:27:37Z INFO [95/500] 053a66ea-cc4d-4713-8166-9f6f2b00d8c9: Sackin index -0.0376; 2.0 s; peak memory 1087 MiB.
2026-09-18T16:27:49Z INFO [96/500] 053a6ce2-4775-4330-ab48-52367620034e: Sackin index -0.0161; 12.3 s; peak memory 1087 MiB.
2026-09-18T16:28:01Z INFO [97/500] 053acf63-2894-4df8-9301-1a477dc0a043: Sackin index -0.1371; 11.7 s; peak memory 1087 MiB.
2026-09-18T16:28:02Z INFO [98/500] 053af9c8-eb6f-4781-862b-0f2dc4d84706: Sackin index -0.1349; 1.3 s; peak memory 1087 MiB.
2026-09-18T16:28:10Z INFO [99/500] 053c5f57-b6f5-4222-bccd-b3b6930d8ed0: Sackin index -0.0431; 7.2 s; peak memory 1087 MiB.
2026-09-18T16:28:29Z INFO [100/500] 053c6b29-e8a9-4f8f-9e89-26ccedef9b80: Sackin index -0.0169; 19.7 s; peak memory 1087 MiB.
2026-09-18T16:28:29Z INFO [100/500] 053c6b29-e8a9-4f8f-9e89-26ccedef9b80: checkpointed 49387 records.
2026-09-18T16:28:31Z INFO [101/500] 053c7815-9c7a-4a00-bee8-59e2e6b9c769: Sackin index -0.0702; 1.8 s; peak memory 1087 MiB.
2026-09-18T16:28:33Z INFO [102/500] 053d9e74-834f-442d-af7f-86a92f4ca65f: Sackin index -0.0379; 1.9 s; peak memory 1087 MiB.
2026-09-18T16:28:37Z INFO [103/500] 053dc7d7-c2ac-414b-955b-a79efee0cd85: Sackin index -0.0660; 3.5 s; peak memory 1087 MiB.
2026-09-18T16:28:38Z INFO [104/500] 053e6ef2-3ebf-49e1-9da3-57ddb77d1990: Sackin index -0.1349; 1.2 s; peak memory 1087 MiB.
2026-09-18T16:28:39Z INFO [105/500] 053e9ed8-46ca-41e4-9e7c-e5e9de09ebe8: Sackin index -0.1448; 1.1 s; peak memory 1087 MiB.
2026-09-18T16:28:41Z INFO [106/500] 05400f8a-f2f2-4bda-95e5-16297d6de126: Sackin index -0.0702; 1.6 s; peak memory 1087 MiB.
2026-09-18T16:28:43Z INFO [107/500] 05402c9f-9b58-45dc-b282-1ef28f4bd8e6: Sackin index -0.0728; 2.2 s; peak memory 1087 MiB.
2026-09-18T16:28:44Z INFO [108/500] 0540d0a2-af25-4e17-9473-73124b45e55c: Sackin index -0.1527; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:28:46Z INFO [109/500] 05415d59-84fc-4182-9ea0-18feb7b787d7: Sackin index -0.0696; 1.8 s; peak memory 1087 MiB.
2026-09-18T16:28:54Z INFO [110/500] 05415e0d-3f85-44d1-9bba-872eec02d63f: Sackin index -0.0222; 7.9 s; peak memory 1087 MiB.
2026-09-18T16:30:51Z INFO [111/500] 05420548-7fb6-4c5f-92ac-c9abff1ca83d: Sackin index -0.0410; 116.5 s; peak memory 1087 MiB.
2026-09-18T16:30:52Z INFO [112/500] 05421598-4e27-4717-aad1-49ba56fc2203: Sackin index -0.1178; 1.2 s; peak memory 1087 MiB.
2026-09-18T16:30:53Z INFO [113/500] 054230ab-9160-4942-92f2-f80573d4cdfe: Sackin index -0.0702; 1.7 s; peak memory 1087 MiB.
2026-09-18T16:30:55Z INFO [114/500] 05425364-7175-4a4f-b2d6-211aeb84856a: Sackin index -0.1349; 1.5 s; peak memory 1087 MiB.
2026-09-18T16:30:56Z INFO [115/500] 054417af-0e57-41b0-92d4-3b8668768db0: Sackin index -0.1319; 1.3 s; peak memory 1087 MiB.
2026-09-18T16:30:58Z INFO [116/500] 0544c5fb-e833-401a-8ef2-16d1fcb45cce: Sackin index -0.0745; 1.8 s; peak memory 1087 MiB.
2026-09-18T16:31:12Z INFO [117/500] 0545f24a-8f1c-45ac-bee3-b69274ec3b20: Sackin index -0.0262; 14.4 s; peak memory 1087 MiB.
2026-09-18T16:31:26Z INFO [118/500] 0545facd-6940-48d8-8e7c-7ac6ccfba2c9: Sackin index -0.0140; 13.1 s; peak memory 1087 MiB.
2026-09-18T16:31:37Z INFO [119/500] 054734b4-61fd-4a5f-b87c-5763f75442bc: Sackin index -0.1495; 11.6 s; peak memory 1087 MiB.
2026-09-18T16:31:39Z INFO [120/500] 054846e7-f298-4c0d-9940-4292f25d045d: Sackin index -0.1273; 1.9 s; peak memory 1087 MiB.
2026-09-18T16:31:41Z INFO [121/500] 05486d44-a3d7-4ae1-a3de-0d3b1383b95c: Sackin index -0.0702; 1.7 s; peak memory 1087 MiB.
2026-09-18T16:31:42Z INFO [122/500] 0549f14c-5252-4c9f-ba51-f95bd719fd77: Sackin index -0.1298; 1.3 s; peak memory 1087 MiB.
2026-09-18T16:31:44Z INFO [123/500] 054a1fa4-294e-4ad2-846e-c1b565146d8e: Sackin index -0.1331; 2.2 s; peak memory 1087 MiB.
2026-09-18T16:31:45Z INFO [124/500] 054aadf7-5c0a-4bb4-872c-04fa146c88e2: Sackin index -0.1178; 1.2 s; peak memory 1087 MiB.
2026-09-18T16:31:49Z INFO [125/500] 054b8570-9e11-4728-bb1f-556142d8a73c: Sackin index -0.0699; 3.3 s; peak memory 1087 MiB.
2026-09-18T16:31:51Z INFO [126/500] 054bab49-330a-4605-9c5a-3984acfbbf05: Sackin index -0.0738; 2.4 s; peak memory 1087 MiB.
2026-09-18T16:32:02Z INFO [127/500] 054c98c6-a4ad-4051-a558-ea4ef9c543c6: Sackin index -0.0154; 10.8 s; peak memory 1087 MiB.
2026-09-18T16:32:03Z INFO [128/500] 054c9c41-f4c6-4e23-8203-42817016845e: Sackin index -0.1349; 1.3 s; peak memory 1087 MiB.
2026-09-18T16:32:16Z INFO [129/500] 054cb21f-f9e2-4e56-a2d5-137493cdbf39: Sackin index -0.0220; 13.2 s; peak memory 1087 MiB.
2026-09-18T16:32:18Z INFO [130/500] 054e0ed6-d959-44af-a2ba-f29377d6018a: Sackin index -0.1349; 1.5 s; peak memory 1087 MiB.
2026-09-18T16:32:19Z INFO [131/500] 054e72dc-52e0-4554-95b3-8e05884f557b: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:32:21Z INFO [132/500] 054f455c-ed91-47d5-b88c-814b41809ba8: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:32:26Z INFO [133/500] 054f5566-37a0-4a2d-84d3-74b6a7e04603: Sackin index -0.0302; 5.6 s; peak memory 1087 MiB.
2026-09-18T16:32:28Z INFO [134/500] 055010a4-892c-4e7f-a705-bbef378b2508: Sackin index -0.1349; 1.5 s; peak memory 1087 MiB.
2026-09-18T16:32:32Z INFO [135/500] 05501e15-bfc6-4a4f-b291-cefda24f52e6: Sackin index -0.0933; 4.7 s; peak memory 1087 MiB.
2026-09-18T16:32:39Z INFO [136/500] 0550927a-a423-4ffa-86f8-7fe737acd3ef: Sackin index -0.0239; 6.6 s; peak memory 1087 MiB.
2026-09-18T16:32:40Z INFO [137/500] 0551ff6c-4f35-4893-a6d9-4aad9f4a8e44: Sackin index -0.1658; 1.2 s; peak memory 1087 MiB.
2026-09-18T16:32:42Z INFO [138/500] 05527526-39ad-4591-a074-6b4a49bee1c3: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:32:55Z INFO [139/500] 05549015-08b8-447d-b328-a8509d8aaa15: Sackin index -0.0288; 13.1 s; peak memory 1087 MiB.
2026-09-18T16:32:56Z INFO [140/500] 055517ad-cee8-4c70-b256-3cbfa58f1833: Sackin index -0.0696; 1.7 s; peak memory 1087 MiB.
2026-09-18T16:32:58Z INFO [141/500] 055561d0-2178-4976-ad61-5439d915cd42: Sackin index -0.1239; 1.3 s; peak memory 1087 MiB.
2026-09-18T16:33:00Z INFO [142/500] 0555b960-ad44-4221-a70d-d5815edb7b29: Sackin index -0.0728; 2.0 s; peak memory 1087 MiB.
2026-09-18T16:33:01Z INFO [143/500] 05569217-8dbe-4c77-bb46-d7193266a198: Sackin index -0.1349; 1.5 s; peak memory 1087 MiB.
2026-09-18T16:33:02Z INFO [144/500] 0557035c-2ef1-4a1f-92bb-32535a25e041: Sackin index -0.1239; 1.2 s; peak memory 1087 MiB.
2026-09-18T16:33:20Z INFO [145/500] 05579c36-0f7d-40f6-917c-eba444c7b22d: Sackin index -0.1367; 17.8 s; peak memory 1087 MiB.
2026-09-18T16:33:22Z INFO [146/500] 0557a512-0e70-4a2d-9d54-9bc012533b82: Sackin index -0.0369; 2.2 s; peak memory 1087 MiB.
2026-09-18T16:33:24Z INFO [147/500] 0557c384-5e5f-4a8c-810d-696a304c8ac5: Sackin index -0.1273; 1.6 s; peak memory 1087 MiB.
2026-09-18T16:33:26Z INFO [148/500] 0558761e-232e-41ad-89c6-544dd65aeb45: Sackin index -0.0376; 1.9 s; peak memory 1087 MiB.
2026-09-18T16:33:28Z INFO [149/500] 055914c0-3e1f-4713-88f9-86da4d166fc4: Sackin index -0.0696; 1.8 s; peak memory 1087 MiB.
2026-09-18T16:33:35Z INFO [150/500] 055935fd-ff6b-43dd-8bb7-6cf0329d7097: Sackin index -0.0403; 6.7 s; peak memory 1087 MiB.
2026-09-18T16:33:35Z INFO [150/500] 055935fd-ff6b-43dd-8bb7-6cf0329d7097: checkpointed 49437 records.
