2026-09-24T16:34:06Z INFO Logging to /tmp/logs/update_2026-09-24T16-34-06Z.log.
2026-09-24T16:34:06Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-24T16:34:06Z INFO Processing 371 items (55798 already recorded).
2026-09-24T16:37:35Z INFO [39/371] 1291e0c0-22db-439a-b033-e3c77f02527f: Sackin index -0.1356; 0.7 s; peak memory 218 MiB.
2026-09-24T16:37:36Z INFO [40/371] 1292574a-6ba9-4800-b6fb-e241db3f6833: Sackin index -0.0956; 1.1 s; peak memory 218 MiB.
2026-09-24T16:37:37Z INFO [41/371] 1292d6c6-7ddc-442e-8dde-7b3d5235a3de: Sackin index -0.0715; 1.1 s; peak memory 218 MiB.
2026-09-24T16:37:38Z INFO [42/371] 1292d6f5-5233-4410-86b0-e264efd93419: Sackin index -0.0745; 1.2 s; peak memory 218 MiB.
2026-09-24T16:37:39Z INFO [43/371] 1292e86b-d3f9-4339-8db1-2d4f32991cb5: Sackin index -0.0702; 1.0 s; peak memory 218 MiB.
2026-09-24T16:37:41Z INFO [44/371] 12937b49-7e20-4f1d-825c-e1a4c4845eea: Sackin index -0.0699; 2.2 s; peak memory 218 MiB.
2026-09-24T16:37:48Z INFO [45/371] 129420b8-cc3c-4ee7-bebb-6263b92f417e: Sackin index -0.0709; 6.3 s; peak memory 218 MiB.
2026-09-24T16:37:49Z INFO [46/371] 1294d09a-25be-4dc7-b1c6-f7de92a05c70: Sackin index -0.0745; 1.1 s; peak memory 218 MiB.
2026-09-24T16:37:50Z INFO [47/371] 1294d69e-e19d-47b8-80a6-ce816f2df700: Sackin index -0.0375; 1.2 s; peak memory 218 MiB.
2026-09-24T16:37:51Z INFO [48/371] 12974b9b-d644-4d93-a062-d93f83527331: Sackin index -0.1658; 0.7 s; peak memory 218 MiB.
2026-09-24T16:37:52Z INFO [49/371] 129763d1-9fc7-4a67-86ea-ab736d01feaa: Sackin index -0.1349; 0.9 s; peak memory 218 MiB.
2026-09-24T16:37:53Z INFO [50/371] 129862a4-b096-4c25-aa1f-2ab79ef5ea0b: Sackin index -0.1273; 1.4 s; peak memory 218 MiB.
2026-09-24T16:37:53Z INFO [50/371] 129862a4-b096-4c25-aa1f-2ab79ef5ea0b: checkpointed 55848 records.
2026-09-24T16:38:26Z INFO [51/371] 12993b3c-8ee6-4f05-a7c9-78bfe1c156b5: Sackin index -0.0019; 33.2 s; peak memory 304 MiB.
2026-09-24T16:38:28Z INFO [52/371] 12995456-f6c0-455d-891c-37b9ebcf5cfe: Sackin index -0.0728; 1.6 s; peak memory 304 MiB.
2026-09-24T16:38:29Z INFO [53/371] 12997001-0b2b-48c0-9385-3b1363974296: Sackin index -0.1380; 1.3 s; peak memory 304 MiB.
2026-09-24T16:38:30Z INFO [54/371] 12998c30-8061-474d-8795-91c8761f9eed: Sackin index -0.1191; 1.0 s; peak memory 304 MiB.
2026-09-24T16:38:38Z INFO [55/371] 1299e442-2bf9-44e8-96ea-5859793b42a6: Sackin index -0.0222; 7.8 s; peak memory 304 MiB.
2026-09-24T16:38:39Z INFO [56/371] 129a6037-8f9c-4b9e-8059-69234e3f03ca: Sackin index -0.1390; 1.2 s; peak memory 304 MiB.
2026-09-24T16:38:41Z INFO [57/371] 129aad8c-9462-4cec-8135-e2942ac22fc4: Sackin index -0.0728; 1.6 s; peak memory 304 MiB.
2026-09-24T16:38:57Z INFO [58/371] 129aff73-56eb-4c5e-aa22-f529c53971de: Sackin index -0.1367; 16.5 s; peak memory 304 MiB.
2026-09-24T16:39:07Z INFO [59/371] 129bb052-13cd-42f5-bf90-9b36bcf03d3c: Sackin index -0.0165; 9.4 s; peak memory 304 MiB.
2026-09-24T16:39:09Z INFO [60/371] 129bdaf9-15c6-47f9-ac91-d062cb3271c4: Sackin index -0.1243; 2.1 s; peak memory 304 MiB.
2026-09-24T16:39:10Z INFO [61/371] 129c0f12-95b4-4f59-aa7c-a09a69454b4f: Sackin index -0.1248; 1.2 s; peak memory 304 MiB.
2026-09-24T16:39:11Z INFO [62/371] 129c8b2a-c7d2-4d75-a1e6-d0778cce4737: Sackin index -0.0376; 1.2 s; peak memory 304 MiB.
2026-09-24T16:39:23Z INFO [63/371] 129cb6b3-4257-49a8-8545-c568c75d6ec2: Sackin index -0.0235; 11.9 s; peak memory 304 MiB.
2026-09-24T16:39:24Z INFO [64/371] 129ccdd9-7656-4bd7-9804-1466256bf597: Sackin index -0.1349; 1.0 s; peak memory 304 MiB.
2026-09-24T16:39:25Z INFO [65/371] 129d4d0d-25b7-464b-9502-00a13e39051f: Sackin index -0.1658; 0.7 s; peak memory 304 MiB.
2026-09-24T16:39:38Z INFO [66/371] 129d6ec8-a060-474e-9d8c-a46048964c3d: Sackin index -0.0208; 13.0 s; peak memory 304 MiB.
2026-09-24T16:39:41Z INFO [67/371] 129de5a2-ac65-4444-abf2-c6ea3e88485a: Sackin index -0.0686; 2.6 s; peak memory 304 MiB.
2026-09-24T16:39:42Z INFO [68/371] 129e8555-fd09-4fd5-8e72-c4fc25e3def7: Sackin index -0.1349; 1.1 s; peak memory 304 MiB.
2026-09-24T16:39:47Z INFO [69/371] 129ee20a-9d75-4606-bfa2-96a9f4c9c6ff: Sackin index -0.0251; 5.4 s; peak memory 304 MiB.
2026-09-24T16:39:49Z INFO [70/371] 129ee71d-ad3d-435c-8bf2-69a73844dea2: Sackin index -0.0702; 1.4 s; peak memory 304 MiB.
2026-09-24T16:39:49Z INFO [71/371] 129f48de-e32f-48ff-8edd-5e2787fe64cf: Sackin index -0.0707; 0.9 s; peak memory 304 MiB.
2026-09-24T16:39:51Z INFO [72/371] 129f98b1-8839-4be5-84e3-281e7b8635fa: Sackin index -0.1349; 1.2 s; peak memory 304 MiB.
2026-09-24T16:39:52Z INFO [73/371] 129fff6a-eb37-495d-b0c6-b5ec86005b58: Sackin index -0.0696; 1.1 s; peak memory 304 MiB.
2026-09-24T16:39:53Z INFO [74/371] 12a0186b-397e-405f-9b80-62d99da2a44b: Sackin index -0.0941; 1.6 s; peak memory 304 MiB.
2026-09-24T16:39:54Z INFO [75/371] 12a132be-1857-4ce2-8cc0-e62b9f6e2b81: Sackin index -0.1165; 0.9 s; peak memory 304 MiB.
2026-09-24T16:39:55Z INFO [76/371] 12a16410-dec2-4ff2-8797-3237eb565a87: Sackin index -0.0702; 1.1 s; peak memory 304 MiB.
2026-09-24T16:39:58Z INFO [77/371] 12a1dadf-6c40-47e7-b944-64f33fa6537d: Sackin index -0.0365; 2.3 s; peak memory 304 MiB.
2026-09-24T16:40:05Z INFO [78/371] 12a36cde-665f-4088-9acd-23efeeba5f8f: Sackin index -0.0251; 7.5 s; peak memory 304 MiB.
2026-09-24T16:40:06Z INFO [79/371] 12a4e53a-a249-4319-9c32-dca8010104a3: Sackin index -0.0956; 1.1 s; peak memory 304 MiB.
2026-09-24T16:40:08Z INFO [80/371] 12a59932-8949-4623-9420-22721d97941e: Sackin index -0.0696; 1.6 s; peak memory 304 MiB.
2026-09-24T16:40:09Z INFO [81/371] 12a64174-df72-4036-858e-088c4c0e1e0e: Sackin index -0.0702; 1.2 s; peak memory 304 MiB.
2026-09-24T16:40:11Z INFO [82/371] 12a691e5-e1d4-40c7-bc6b-3c29e774953c: Sackin index -0.0728; 1.6 s; peak memory 304 MiB.
2026-09-24T16:40:12Z INFO [83/371] 12a8b32c-126b-41a9-b342-1a6378f70fc3: Sackin index -0.1938; 0.9 s; peak memory 304 MiB.
2026-09-24T16:40:13Z INFO [84/371] 12aa0956-d97b-4891-8db6-77efca1f318a: Sackin index -0.0380; 1.3 s; peak memory 304 MiB.
2026-09-24T16:40:21Z INFO [85/371] 12abc2fe-e3df-443c-9e08-a4e3039fabdb: Sackin index -0.0228; 8.2 s; peak memory 304 MiB.
2026-09-24T16:40:22Z INFO [86/371] 12ac7108-6393-4184-aeb4-d7765865d001: Sackin index -0.1716; 1.0 s; peak memory 304 MiB.
2026-09-24T16:40:23Z INFO [87/371] 12acf638-e12c-4aef-97b7-4ff3d550157e: Sackin index -0.0376; 1.3 s; peak memory 304 MiB.
