2026-09-21T19:05:19Z INFO Logging to /tmp/logs/update_2026-09-21T19-05-19Z.log.
2026-09-21T19:05:19Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-21T19:05:19Z INFO Processing 356 items (52866 already recorded).
2026-09-21T19:08:15Z INFO [39/356] 0c96447d-5597-4880-ad2f-1d7b31485290: Sackin index -0.1349; 1.0 s; peak memory 212 MiB.
2026-09-21T19:08:17Z INFO [40/356] 0c9665b6-4d4f-4741-b058-0553b11ddfb1: Sackin index -0.0728; 1.6 s; peak memory 212 MiB.
2026-09-21T19:08:18Z INFO [41/356] 0c96bf7d-c763-4601-bc5d-01c4b3ef101a: Sackin index -0.1484; 0.8 s; peak memory 212 MiB.
2026-09-21T19:08:19Z INFO [42/356] 0c96ea05-15c3-4387-b5d9-735c04689f40: Sackin index -0.0702; 1.1 s; peak memory 212 MiB.
2026-09-21T19:08:20Z INFO [43/356] 0c975e47-fdf6-4ae6-8011-59f1445a8cca: Sackin index -0.1208; 0.7 s; peak memory 212 MiB.
2026-09-21T19:08:21Z INFO [44/356] 0c97d371-ec3f-4a9c-a433-c2fd88ad6068: Sackin index -0.1349; 1.0 s; peak memory 212 MiB.
2026-09-21T19:08:21Z INFO [45/356] 0c992412-8d38-413e-981a-bb7daf8ea8e4: Sackin index -0.2147; 0.7 s; peak memory 212 MiB.
2026-09-21T19:09:11Z INFO [46/356] 0c99a0b4-003a-4b91-ac0a-bda9d63d6e92: Sackin index -0.0269; 49.4 s; peak memory 212 MiB.
2026-09-21T19:09:12Z INFO [47/356] 0c99acec-19ba-4394-83b8-0b913038d95d: Sackin index -0.0715; 1.2 s; peak memory 212 MiB.
2026-09-21T19:09:14Z INFO [48/356] 0c9a0559-758d-4705-b2d9-831caf3e22c2: Sackin index -0.0676; 2.3 s; peak memory 212 MiB.
2026-09-21T19:09:15Z INFO [49/356] 0c9b3800-ac4e-4341-addb-7a92573a2b21: Sackin index -0.1658; 0.8 s; peak memory 212 MiB.
2026-09-21T19:09:17Z INFO [50/356] 0c9b9e53-44d5-4a91-98ac-91d648b0163c: Sackin index -0.0375; 1.7 s; peak memory 212 MiB.
2026-09-21T19:09:17Z INFO [50/356] 0c9b9e53-44d5-4a91-98ac-91d648b0163c: checkpointed 52916 records.
2026-09-21T19:09:19Z INFO [51/356] 0c9c8dde-fa17-4a78-8cda-c1b7df8779de: Sackin index -0.0398; 2.0 s; peak memory 212 MiB.
2026-09-21T19:09:20Z INFO [52/356] 0c9d001e-c43d-45c7-b6fe-d1af429a52a4: Sackin index -0.0369; 1.6 s; peak memory 212 MiB.
2026-09-21T19:09:22Z INFO [53/356] 0c9d1ef4-f138-43f9-abc7-494438ecc23d: Sackin index -0.1248; 1.2 s; peak memory 212 MiB.
2026-09-21T19:09:23Z INFO [54/356] 0c9d9838-b9c7-46f0-8575-130e736964a0: Sackin index -0.1349; 1.0 s; peak memory 212 MiB.
2026-09-21T19:09:24Z INFO [55/356] 0c9e5114-b5e3-4a99-ba2d-5c3aba49be2e: Sackin index -0.0745; 1.3 s; peak memory 212 MiB.
2026-09-21T19:09:25Z INFO [56/356] 0c9e8607-8d70-46da-aa33-116ed04e5af7: Sackin index -0.1349; 0.9 s; peak memory 212 MiB.
2026-09-21T19:09:26Z INFO [57/356] 0c9ed46f-7820-4c98-bc18-249a1bc5651b: Sackin index -0.2458; 0.8 s; peak memory 212 MiB.
2026-09-21T19:09:27Z INFO [58/356] 0c9efdd2-12a5-4500-8a9d-a8365efac770: Sackin index -0.0745; 1.3 s; peak memory 212 MiB.
2026-09-21T19:09:28Z INFO [59/356] 0c9f1c15-311d-411d-8f2b-bb1bb79941b3: Sackin index -0.1361; 0.9 s; peak memory 212 MiB.
2026-09-21T19:09:29Z INFO [60/356] 0c9f1e96-ed7b-44a5-b2a3-7a1f2977bd5d: Sackin index -0.1082; 1.2 s; peak memory 212 MiB.
2026-09-21T19:09:30Z INFO [61/356] 0ca13239-b128-459e-887c-cfb6a615a7f8: Sackin index -0.1349; 1.1 s; peak memory 212 MiB.
2026-09-21T19:09:31Z INFO [62/356] 0ca1af61-a340-470b-af55-f682ab89c4f9: Sackin index -0.0707; 1.0 s; peak memory 212 MiB.
2026-09-21T19:09:33Z INFO [63/356] 0ca2789d-d620-4874-afaa-ea7928aafe8c: Sackin index -0.1938; 1.6 s; peak memory 212 MiB.
2026-09-21T19:09:46Z INFO [64/356] 0ca2aae7-becb-4500-9745-bcfbba902c5e: Sackin index -0.0142; 12.7 s; peak memory 212 MiB.
2026-09-21T19:09:46Z INFO [65/356] 0ca30142-13c5-4aa0-8588-7212ff6ba0a4: Sackin index -0.1448; 0.9 s; peak memory 212 MiB.
2026-09-21T19:09:52Z INFO [66/356] 0ca44c75-0ffa-4795-a239-5faf26c3276c: Sackin index -0.0476; 5.2 s; peak memory 212 MiB.
2026-09-21T19:09:53Z INFO [67/356] 0ca478d2-3906-4172-8c06-d7691e51a7ee: Sackin index -0.0275; 1.7 s; peak memory 212 MiB.
2026-09-21T19:10:10Z INFO [68/356] 0ca489dc-8c49-4444-a3ca-5298b181c683: Sackin index -0.0145; 16.5 s; peak memory 212 MiB.
2026-09-21T19:10:11Z INFO [69/356] 0ca583e0-5190-4d42-b56b-79a77480d764: Sackin index -0.2147; 0.7 s; peak memory 212 MiB.
2026-09-21T19:10:11Z INFO [70/356] 0ca5d8b2-d4cb-4372-81be-b3976818ef64: Sackin index -0.1658; 0.8 s; peak memory 212 MiB.
2026-09-21T19:10:12Z INFO [71/356] 0ca66fab-77c9-434c-bcbb-088dc4618c90: Sackin index -0.1349; 0.9 s; peak memory 212 MiB.
2026-09-21T19:10:13Z INFO [72/356] 0ca6803e-c0a6-49f8-b5fc-a1820abce9e5: Sackin index -0.1349; 1.1 s; peak memory 212 MiB.
2026-09-21T19:10:14Z INFO [73/356] 0ca6a9b7-e2da-4fbb-ac9f-82e7df213443: Sackin index -0.1349; 1.1 s; peak memory 212 MiB.
2026-09-21T19:10:16Z INFO [74/356] 0ca6af8a-dcaf-4580-9127-0b712b8a88df: Sackin index -0.0702; 1.3 s; peak memory 212 MiB.
2026-09-21T19:10:20Z INFO [75/356] 0ca7df4c-e21f-4188-b3bc-b2e2e8cb3115: Sackin index -0.0284; 4.2 s; peak memory 212 MiB.
2026-09-21T19:10:22Z INFO [76/356] 0ca7f883-3a3f-4087-8d0c-029c8e98ee37: Sackin index -0.0728; 1.6 s; peak memory 212 MiB.
2026-09-21T19:10:23Z INFO [77/356] 0ca913fd-c6ca-4142-9eb9-82537e4f7303: Sackin index -0.0376; 1.2 s; peak memory 212 MiB.
2026-09-21T19:10:24Z INFO [78/356] 0caaa06c-58fa-47ee-810e-65e09c85ab2c: Sackin index -0.1658; 0.8 s; peak memory 212 MiB.
2026-09-21T19:10:25Z INFO [79/356] 0caae806-5d7e-4b81-873c-dc23cd2381e9: Sackin index -0.1349; 0.9 s; peak memory 212 MiB.
2026-09-21T19:10:26Z INFO [80/356] 0caaedce-7696-4563-815d-7ba5b0a35c95: Sackin index -0.1349; 1.0 s; peak memory 212 MiB.
2026-09-21T19:10:34Z INFO [81/356] 0cab1578-d520-433a-9dac-acee68dfb0d9: Sackin index -0.0168; 8.4 s; peak memory 212 MiB.
2026-09-21T19:10:35Z INFO [82/356] 0cab82fe-9bf6-4b97-b7f7-e35fa3ef5b87: Sackin index -0.1272; 0.7 s; peak memory 212 MiB.
2026-09-21T19:10:36Z INFO [83/356] 0cac9995-0d51-4763-a046-6303bb40dd44: Sackin index -0.0702; 1.3 s; peak memory 212 MiB.
2026-09-21T19:10:38Z INFO [84/356] 0cad0f68-5304-48c7-a7f6-b0adaf66e41a: Sackin index -0.0694; 2.3 s; peak memory 212 MiB.
2026-09-21T19:10:40Z INFO [85/356] 0cade163-c2e0-4ca1-88f9-a802b803a264: Sackin index -0.0702; 1.3 s; peak memory 212 MiB.
2026-09-21T19:10:41Z INFO [86/356] 0cae0a41-48a4-4b84-8d3e-2d6aa23b8e87: Sackin index -0.0745; 1.1 s; peak memory 212 MiB.
2026-09-21T19:10:43Z INFO [87/356] 0cae139a-b658-4048-9c44-98ea5240dab7: Sackin index -0.0842; 2.4 s; peak memory 212 MiB.
2026-09-21T19:10:44Z INFO [88/356] 0caf61c8-aee5-4c1d-a648-e5354ca63bac: Sackin index -0.0696; 1.2 s; peak memory 212 MiB.
2026-09-21T19:10:45Z INFO [89/356] 0caf94e2-05da-496d-b092-5a1d5dd00ab7: Sackin index -0.0656; 1.1 s; peak memory 212 MiB.
