2026-09-17T20:58:55Z INFO Logging to /tmp/logs/update_2026-09-17T20-58-55Z.log.
2026-09-17T20:58:55Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-17T20:58:55Z INFO Processing 372 items (48415 already recorded).
2026-09-17T21:00:52Z INFO [39/372] 033222b9-3dd6-47f5-a7de-594dd246cdfc: Sackin index -0.1349; 1.3 s; peak memory 157 MiB.
2026-09-17T21:00:54Z INFO [40/372] 033235e1-fa7c-4d33-8f15-d4a3e8f5a43d: Sackin index -0.0702; 1.7 s; peak memory 157 MiB.
2026-09-17T21:03:23Z INFO [41/372] 033296a7-f35e-45a0-9a46-3099413de401: Sackin index -0.0573; 149.0 s; peak memory 289 MiB.
2026-09-17T21:03:24Z INFO [42/372] 0332cbac-390d-42b3-ad6d-ac42d1bf1092: Sackin index -0.1178; 1.1 s; peak memory 289 MiB.
2026-09-17T21:03:26Z INFO [43/372] 03332538-34cc-44c5-b960-273bdfbdcd73: Sackin index -0.1349; 1.4 s; peak memory 289 MiB.
2026-09-17T21:03:28Z INFO [44/372] 03338fd2-c2b9-45ea-89d0-1854e6729102: Sackin index -0.0369; 2.2 s; peak memory 289 MiB.
2026-09-17T21:03:30Z INFO [45/372] 0333f1fc-6191-4b7e-9c50-6bffc8e226bf: Sackin index -0.0752; 1.9 s; peak memory 289 MiB.
2026-09-17T21:03:31Z INFO [46/372] 03343aa5-19af-40a3-908a-199aa7ac621b: Sackin index -0.1349; 1.5 s; peak memory 289 MiB.
2026-09-17T21:03:34Z INFO [47/372] 033462b2-6abb-46df-a2fe-85fc771a18f7: Sackin index -0.0699; 3.1 s; peak memory 289 MiB.
2026-09-17T21:03:36Z INFO [48/372] 03357166-3956-4de7-8501-4d5e8d69c6ce: Sackin index -0.0709; 2.0 s; peak memory 289 MiB.
2026-09-17T21:03:40Z INFO [49/372] 0335edb5-00c2-4b57-87a4-9ff9afb2aaec: Sackin index -0.0660; 4.1 s; peak memory 289 MiB.
2026-09-17T21:03:42Z INFO [50/372] 03376a6e-24e2-4dae-a823-c32b693ad95e: Sackin index -0.0752; 1.6 s; peak memory 289 MiB.
2026-09-17T21:03:42Z INFO [50/372] 03376a6e-24e2-4dae-a823-c32b693ad95e: checkpointed 48465 records.
2026-09-17T21:03:44Z INFO [51/372] 0337823f-ffab-4e5b-9816-b6efdcceade3: Sackin index -0.1349; 1.4 s; peak memory 289 MiB.
2026-09-17T21:03:45Z INFO [52/372] 0338279c-e3fa-4d30-9bec-8342785951fa: Sackin index -0.0715; 1.6 s; peak memory 289 MiB.
2026-09-17T21:03:47Z INFO [53/372] 03383de2-51cc-467a-9b50-99e5190964c0: Sackin index -0.1191; 1.5 s; peak memory 289 MiB.
2026-09-17T21:03:48Z INFO [54/372] 0338f7d1-7504-4746-ae6d-dc45564297b3: Sackin index -0.0702; 1.7 s; peak memory 289 MiB.
2026-09-17T21:03:50Z INFO [55/372] 033999bf-6d3d-4747-a29b-c298723ab87d: Sackin index -0.1349; 1.5 s; peak memory 289 MiB.
2026-09-17T21:04:20Z INFO [56/372] 0339f9c8-7306-44a4-8ded-a74556b40692: Sackin index -0.0131; 29.8 s; peak memory 289 MiB.
2026-09-17T21:04:21Z INFO [57/372] 033a1f6a-80d2-4a49-b9a8-9e6d5ced0d93: Sackin index -0.1602; 1.6 s; peak memory 289 MiB.
2026-09-17T21:04:23Z INFO [58/372] 033afa80-ba97-4b5a-acb9-bbd1c098de14: Sackin index -0.1349; 1.5 s; peak memory 289 MiB.
2026-09-17T21:04:24Z INFO [59/372] 033b5034-77c7-4a7c-8b99-61355fc77c85: Sackin index -0.1349; 1.5 s; peak memory 289 MiB.
2026-09-17T21:04:28Z INFO [60/372] 033b80a3-9b9b-4727-888d-e0ab54a1d97f: Sackin index -0.0699; 3.3 s; peak memory 289 MiB.
