2026-09-24T00:15:34Z INFO Logging to /tmp/logs/update_2026-09-24T00-15-34Z.log.
2026-09-24T00:15:34Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-24T00:15:35Z INFO Processing 379 items (55419 already recorded).
2026-09-24T00:19:02Z INFO [50/379] 11ebfeb2-1d34-4779-ad1e-2bde9017c249: Sackin index -0.0693; 3.3 s; peak memory 200 MiB.
2026-09-24T00:19:02Z INFO [50/379] 11ebfeb2-1d34-4779-ad1e-2bde9017c249: checkpointed 55469 records.
2026-09-24T00:19:03Z INFO [51/379] 11ec77b9-c931-4779-8536-67735488da7f: Sackin index -0.1331; 1.2 s; peak memory 200 MiB.
2026-09-24T00:19:16Z INFO [52/379] 11eca715-f59a-4f71-a42e-5706d04b0665: Sackin index -0.0250; 13.6 s; peak memory 200 MiB.
2026-09-24T00:19:18Z INFO [53/379] 11ee000e-1890-415c-a316-07eed2aac577: Sackin index -0.1349; 1.3 s; peak memory 200 MiB.
2026-09-24T00:19:19Z INFO [54/379] 11ee001e-1354-447b-a545-6d8be013237d: Sackin index -0.1602; 1.3 s; peak memory 201 MiB.
2026-09-24T00:19:20Z INFO [55/379] 11ee6172-2cbc-4131-ab37-4fedf1a0d80d: Sackin index -0.1658; 1.1 s; peak memory 201 MiB.
2026-09-24T00:19:28Z INFO [56/379] 11ee716f-4be4-49af-86aa-b2af23f4b880: Sackin index -0.1938; 8.3 s; peak memory 201 MiB.
2026-09-24T00:19:30Z INFO [57/379] 11ee8084-a567-435b-b533-444923c0140c: Sackin index -0.1349; 1.4 s; peak memory 202 MiB.
2026-09-24T00:19:56Z INFO [58/379] 11ee8d3a-b164-4c17-84e2-4a761ba5ec68: Sackin index -0.0138; 25.8 s; peak memory 202 MiB.
2026-09-24T00:19:58Z INFO [59/379] 11eeb954-97ef-4902-8409-24989dae959e: Sackin index -0.0275; 2.2 s; peak memory 202 MiB.
2026-09-24T00:19:59Z INFO [60/379] 11eed946-5b46-47cf-ba65-3a7627f85771: Sackin index -0.1349; 1.3 s; peak memory 202 MiB.
2026-09-24T00:20:01Z INFO [61/379] 11eede50-a27b-4d8b-8ce5-192981258f33: Sackin index -0.0371; 1.8 s; peak memory 202 MiB.
2026-09-24T00:20:02Z INFO [62/379] 11efd6e6-1b59-44a5-96c7-843e97ee5566: Sackin index -0.1349; 1.4 s; peak memory 202 MiB.
2026-09-24T00:20:04Z INFO [63/379] 11f0be72-b5cb-4dec-872b-ce453ffee39a: Sackin index -0.0375; 2.1 s; peak memory 202 MiB.
2026-09-24T00:22:15Z INFO [64/379] 11f0da7b-a05b-4508-9540-6eb793b9777f: Sackin index -0.1038; 130.6 s; peak memory 266 MiB.
2026-09-24T00:22:16Z INFO [65/379] 11f15691-529b-47ea-8a78-fab6a9fbadcf: Sackin index -0.1349; 1.4 s; peak memory 266 MiB.
2026-09-24T00:22:32Z INFO [66/379] 11f190c2-b7a3-4b16-be3d-c32a47d90673: Sackin index -0.0210; 15.5 s; peak memory 266 MiB.
2026-09-24T00:22:35Z INFO [67/379] 11f1ef7b-7afa-4f9d-bb5c-e1957d40bfa1: Sackin index -0.0369; 2.8 s; peak memory 266 MiB.
2026-09-24T00:22:51Z INFO [68/379] 11f362a8-1f2b-4779-b383-e6affd3aa9c9: Sackin index -0.0189; 15.9 s; peak memory 266 MiB.
2026-09-24T00:22:52Z INFO [69/379] 11f3b531-ef2c-44da-b6a7-3e8f83221ba9: Sackin index -0.0696; 1.7 s; peak memory 266 MiB.
2026-09-24T00:23:39Z INFO [70/379] 11f3c185-10a8-4808-a89d-3ae50cd4507e: Sackin index -0.0285; 46.5 s; peak memory 266 MiB.
2026-09-24T00:23:40Z INFO [71/379] 11f3d9e6-0619-4f3b-aff1-b10435cbcb57: Sackin index -0.1349; 1.4 s; peak memory 266 MiB.
2026-09-24T00:23:42Z INFO [72/379] 11f3e0d0-4edd-4a8e-bf53-b9bd5b8391e4: Sackin index -0.0696; 1.6 s; peak memory 266 MiB.
2026-09-24T00:23:52Z INFO [73/379] 11f421ee-a92c-4da0-8e03-1cb125033c4a: Sackin index -0.0140; 10.0 s; peak memory 266 MiB.
2026-09-24T00:23:54Z INFO [74/379] 11f433b5-17cf-452d-a67b-24403bec05e5: Sackin index -0.0728; 2.1 s; peak memory 266 MiB.
2026-09-24T00:23:55Z INFO [75/379] 11f4873a-bb94-445b-9a6d-6952171482d6: Sackin index -0.1658; 1.1 s; peak memory 266 MiB.
2026-09-24T00:23:56Z INFO [76/379] 11f48ffd-e66f-4b33-a346-286638ecb6cc: Sackin index -0.1658; 1.0 s; peak memory 266 MiB.
2026-09-24T00:23:58Z INFO [77/379] 11f50bf2-a51f-4077-a2f5-96c3cc535607: Sackin index -0.1273; 1.8 s; peak memory 266 MiB.
2026-09-24T00:23:59Z INFO [78/379] 11f50bfe-d3db-4a63-820d-6af2e3a7f028: Sackin index -0.1248; 1.5 s; peak memory 266 MiB.
2026-09-24T00:24:01Z INFO [79/379] 11f65b60-01f0-48f8-805e-9f0cd1b0c9d8: Sackin index -0.0326; 1.9 s; peak memory 266 MiB.
2026-09-24T00:24:03Z INFO [80/379] 11f68282-640e-49b6-a27f-a6858de2cd2b: Sackin index -0.0376; 1.7 s; peak memory 266 MiB.
2026-09-24T00:24:05Z INFO [81/379] 11f6f243-f5ad-46a0-a944-20f7ff6df797: Sackin index -0.0702; 1.6 s; peak memory 266 MiB.
2026-09-24T00:25:25Z INFO [82/379] 11f7b47e-bb42-42bf-b138-b8f58d5c7840: Sackin index -0.0031; 80.8 s; peak memory 266 MiB.
2026-09-24T00:25:27Z INFO [83/379] 11f7c8cc-7223-4c4c-9708-971dd32bd90f: Sackin index -0.0728; 2.0 s; peak memory 266 MiB.
2026-09-24T00:25:44Z INFO [84/379] 11f8700e-f585-415e-b3ca-b13cc1620ef6: Sackin index -0.0132; 16.7 s; peak memory 266 MiB.
2026-09-24T00:25:50Z INFO [85/379] 11f8c177-b44f-4874-a526-a891b14de36a: Sackin index -0.0442; 5.4 s; peak memory 266 MiB.
2026-09-24T00:26:46Z INFO [86/379] 11f8cc2e-afac-4dac-b575-567471c8ba15: Sackin index -0.0074; 56.1 s; peak memory 266 MiB.
2026-09-24T00:27:20Z INFO [87/379] 11f90025-e8bd-40da-82b4-16fb0eecc8ca: Sackin index -0.0123; 34.8 s; peak memory 266 MiB.
2026-09-24T00:27:22Z INFO [88/379] 11f92f3a-ac9f-4022-bbe2-ef0f21bb8dff: Sackin index -0.1248; 1.4 s; peak memory 266 MiB.
2026-09-24T00:27:25Z INFO [89/379] 11f93b27-0367-4344-8e71-5f0e82074d1a: Sackin index -0.0877; 2.7 s; peak memory 266 MiB.
2026-09-24T00:27:26Z INFO [90/379] 11f99a2c-f06a-4f15-bb9d-8db12c6c86be: Sackin index -0.1349; 1.4 s; peak memory 266 MiB.
