2026-09-26T00:23:18Z INFO Logging to /tmp/logs/update_2026-09-26T00-23-18Z.log.
2026-09-26T00:23:18Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-26T00:23:18Z INFO Processing 364 items (57658 already recorded).
2026-09-26T00:27:40Z INFO [39/364] 1674fca4-111d-469d-8926-c8d71c0bd171: Sackin index -0.1658; 1.0 s; peak memory 345 MiB.
2026-09-26T00:27:41Z INFO [40/364] 167536fa-c470-4648-af07-1ecb7fc7c0b3: Sackin index -0.0388; 1.3 s; peak memory 345 MiB.
2026-09-26T00:27:42Z INFO [41/364] 167567aa-6a76-4a62-a0fe-7ca39ecf2f3d: Sackin index -0.0715; 1.4 s; peak memory 345 MiB.
2026-09-26T00:27:43Z INFO [42/364] 16757c84-a7f2-43ec-9ff7-4fa56e54bcd4: Sackin index -0.1239; 1.1 s; peak memory 345 MiB.
2026-09-26T00:27:45Z INFO [43/364] 1675c35a-e975-481c-a296-3829715bcffc: Sackin index -0.1602; 1.3 s; peak memory 345 MiB.
2026-09-26T00:27:46Z INFO [44/364] 16766822-138c-48c7-b34d-132f8d18d915: Sackin index -0.0728; 1.3 s; peak memory 346 MiB.
2026-09-26T00:27:47Z INFO [45/364] 1676a7fa-1e4d-454e-8abf-60bed478d3e1: Sackin index -0.1349; 1.2 s; peak memory 346 MiB.
2026-09-26T00:27:57Z INFO [46/364] 1676ad92-dd7f-4a57-9803-d525f0bfadf3: Sackin index -0.0614; 9.7 s; peak memory 346 MiB.
2026-09-26T00:27:58Z INFO [47/364] 16777f13-f984-474d-93b1-c3b831d8ae99: Sackin index -0.1658; 0.9 s; peak memory 346 MiB.
2026-09-26T00:28:00Z INFO [48/364] 1678433d-8748-465e-88ed-6d44aa043dd3: Sackin index -0.1044; 2.0 s; peak memory 346 MiB.
2026-09-26T00:28:01Z INFO [49/364] 16784e36-8f8e-43e8-b1f9-ca314f554c7d: Sackin index -0.1000; 1.6 s; peak memory 346 MiB.
2026-09-26T00:28:03Z INFO [50/364] 1678aee2-233e-4cda-a18a-7a3a53f1a544: Sackin index -0.1658; 1.0 s; peak memory 346 MiB.
2026-09-26T00:28:03Z INFO [50/364] 1678aee2-233e-4cda-a18a-7a3a53f1a544: checkpointed 57708 records.
2026-09-26T00:28:04Z INFO [51/364] 1678f78e-3ef5-403a-bd24-4cc1b26030a8: Sackin index -0.1349; 1.2 s; peak memory 346 MiB.
2026-09-26T00:28:05Z INFO [52/364] 167921c6-88a6-42f2-8a91-f4371348aa4d: Sackin index -0.1349; 1.2 s; peak memory 346 MiB.
2026-09-26T00:28:07Z INFO [53/364] 16792f1f-a7e3-4b36-a6eb-a5cb815255f8: Sackin index -0.0941; 2.1 s; peak memory 346 MiB.
2026-09-26T00:28:09Z INFO [54/364] 167944d0-cc77-4bcb-ab89-24f2cf81471f: Sackin index -0.0709; 1.4 s; peak memory 346 MiB.
2026-09-26T00:28:10Z INFO [55/364] 167994dd-f793-4138-8f53-e2cd25b68ae0: Sackin index -0.0388; 1.3 s; peak memory 346 MiB.
2026-09-26T00:28:11Z INFO [56/364] 1679c7aa-0c80-45ab-b9b4-471b7bef6f41: Sackin index -0.1191; 1.3 s; peak memory 346 MiB.
2026-09-26T00:28:13Z INFO [57/364] 167a0ae8-3a03-4aa4-a76a-b3457f76c249: Sackin index -0.0373; 2.1 s; peak memory 346 MiB.
2026-09-26T00:28:15Z INFO [58/364] 167a1c31-b4f3-4964-be70-b078be7f7baa: Sackin index -0.1194; 1.6 s; peak memory 346 MiB.
