2026-09-26T10:52:16Z INFO Logging to /tmp/logs/update_2026-09-26T10-52-16Z.log.
2026-09-26T10:52:16Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-26T10:52:16Z INFO Processing 384 items (58022 already recorded).
2026-09-26T11:17:16Z INFO [134/384] 175ca259-439b-438e-a4de-dbd176ac2ad5: Sackin index -0.1003; 76.7 s; peak memory 1225 MiB.
2026-09-26T11:17:17Z INFO [135/384] 175caf5f-be42-4086-bc8e-b188ab601097: Sackin index -0.1349; 1.2 s; peak memory 1225 MiB.
2026-09-26T11:17:18Z INFO [136/384] 175d049a-b523-4ee8-b653-e6cf0465153f: Sackin index -0.1349; 1.4 s; peak memory 1225 MiB.
2026-09-26T11:17:20Z INFO [137/384] 175df589-1ea4-4aa5-9180-b0df305fe7bb: Sackin index -0.0756; 1.8 s; peak memory 1225 MiB.
2026-09-26T11:17:21Z INFO [138/384] 175e7e2c-f6e2-4618-bcf3-c68581b5b13d: Sackin index -0.1174; 1.2 s; peak memory 1225 MiB.
2026-09-26T11:17:28Z INFO [139/384] 175e8731-2543-45df-b6a9-97e77feda718: Sackin index -0.0251; 6.9 s; peak memory 1225 MiB.
2026-09-26T11:17:29Z INFO [140/384] 175ed717-e5e5-470b-9b59-e969d2d84335: Sackin index -0.3646; 1.0 s; peak memory 1225 MiB.
2026-09-26T11:17:36Z INFO [141/384] 175f0876-7c47-4cd2-bd5c-9e6cd4e2ca2a: Sackin index -0.0435; 6.5 s; peak memory 1225 MiB.
2026-09-26T11:17:39Z INFO [142/384] 175f22db-c219-4667-8c26-bded68d5c13d: Sackin index -0.0622; 3.4 s; peak memory 1225 MiB.
2026-09-26T11:17:40Z INFO [143/384] 175f374d-ea9e-4e03-8bdf-4a84d17181ca: Sackin index -0.1658; 1.0 s; peak memory 1225 MiB.
2026-09-26T11:17:47Z INFO [144/384] 175f8208-4482-4910-9e3c-6ef1e6aca07b: Sackin index -0.0476; 6.5 s; peak memory 1225 MiB.
2026-09-26T11:17:48Z INFO [145/384] 1761636c-1b99-4d27-8a03-57351bff3cef: Sackin index -0.1349; 1.2 s; peak memory 1225 MiB.
2026-09-26T11:17:49Z INFO [146/384] 1761e0de-2194-4982-a1c2-ff1a3f678224: Sackin index -0.1349; 1.2 s; peak memory 1225 MiB.
