2026-09-25T11:14:34Z INFO Logging to /tmp/logs/update_2026-09-25T11-14-34Z.log.
2026-09-25T11:14:34Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-25T11:14:35Z INFO Processing 381 items (56910 already recorded).
2026-09-25T11:19:47Z INFO [39/381] 14dfe41a-83c9-4691-857b-972ffd23aebb: Sackin index -0.1248; 1.4 s; peak memory 403 MiB.
2026-09-25T11:19:50Z INFO [40/381] 14e02bdf-f844-45ba-8dbb-a71e703de9d6: Sackin index -0.1243; 2.4 s; peak memory 403 MiB.
2026-09-25T11:21:36Z INFO [41/381] 14e0a246-430a-418b-a52a-463cd26631d9: Sackin index -0.0024; 106.3 s; peak memory 405 MiB.
2026-09-25T11:21:37Z INFO [42/381] 14e1824d-ffa8-4686-8aac-7a8a411efd44: Sackin index -0.0656; 1.6 s; peak memory 405 MiB.
2026-09-25T11:21:39Z INFO [43/381] 14e19032-8955-4981-a154-a013e60d7770: Sackin index -0.1349; 1.3 s; peak memory 405 MiB.
2026-09-25T11:21:48Z INFO [44/381] 14e1f074-a780-499c-9f1a-33223c093499: Sackin index -0.0892; 9.3 s; peak memory 405 MiB.
2026-09-25T11:22:05Z INFO [45/381] 14e36315-9532-49bf-8949-56a9f89f9aeb: Sackin index -0.0038; 16.8 s; peak memory 405 MiB.
2026-09-25T11:22:19Z INFO [46/381] 14e3ba7b-369c-4f98-b35b-5e10bbf23f21: Sackin index -0.0134; 14.7 s; peak memory 405 MiB.
2026-09-25T11:22:21Z INFO [47/381] 14e3d007-dcc8-4bb2-b6b3-e7c70df77bfb: Sackin index -0.1349; 1.2 s; peak memory 405 MiB.
2026-09-25T11:22:22Z INFO [48/381] 14e45160-0cd6-49eb-9f08-d8e187b271d7: Sackin index -0.1293; 1.8 s; peak memory 405 MiB.
2026-09-25T11:22:24Z INFO [49/381] 14e4d6e0-4b8c-4fdc-8a2c-b7b25108a4f5: Sackin index -0.0702; 1.5 s; peak memory 405 MiB.
2026-09-25T11:22:25Z INFO [50/381] 14e51520-a3d3-40e0-b048-65015ba6f282: Sackin index -0.1349; 1.1 s; peak memory 405 MiB.
2026-09-25T11:22:25Z INFO [50/381] 14e51520-a3d3-40e0-b048-65015ba6f282: checkpointed 56960 records.
2026-09-25T11:24:50Z INFO [51/381] 14e580c3-c6c3-418b-b308-951e30ee48ff: Sackin index -0.0415; 144.6 s; peak memory 420 MiB.
2026-09-25T11:24:51Z INFO [52/381] 14e6128b-ab28-4045-9531-bdba21892399: Sackin index -0.1349; 1.3 s; peak memory 420 MiB.
2026-09-25T11:24:52Z INFO [53/381] 14e648bc-2aaf-4845-a4fd-3340f2e2a8c2: Sackin index -0.1349; 1.3 s; peak memory 420 MiB.
2026-09-25T11:24:54Z INFO [54/381] 14e8af25-b5d4-4084-9754-29a1ed21dfbc: Sackin index -0.1349; 1.2 s; peak memory 420 MiB.
2026-09-25T11:24:55Z INFO [55/381] 14e907c2-cee7-45fa-a999-06ca7006f311: Sackin index -0.0376; 1.7 s; peak memory 420 MiB.
2026-09-25T11:26:46Z INFO [56/381] 14e9c297-0241-4f29-afc3-2c29c401c204: Sackin index -0.1076; 110.9 s; peak memory 420 MiB.
2026-09-25T11:26:47Z INFO [57/381] 14ea233b-b38c-4653-be79-9db51c198b53: Sackin index -0.1938; 1.1 s; peak memory 420 MiB.
2026-09-25T11:26:50Z INFO [58/381] 14ea847c-cc68-44ef-a367-2bfd5a715f60: Sackin index -0.0395; 3.2 s; peak memory 420 MiB.
2026-09-25T11:26:52Z INFO [59/381] 14eb4a72-2d9b-4bfc-8b3b-9618d1f5a4c0: Sackin index -0.0275; 2.0 s; peak memory 420 MiB.
2026-09-25T11:26:54Z INFO [60/381] 14eb5f99-a7f6-4560-8a39-10f5ee287f90: Sackin index -0.1349; 1.2 s; peak memory 420 MiB.
2026-09-25T11:27:02Z INFO [61/381] 14eb7683-e269-492f-ad35-0c093612424b: Sackin index -0.0940; 7.9 s; peak memory 420 MiB.
2026-09-25T11:27:03Z INFO [62/381] 14ee09a8-c29e-4b5d-9f6f-cd835e70066a: Sackin index -0.0728; 1.9 s; peak memory 420 MiB.
2026-09-25T11:27:05Z INFO [63/381] 14ee6a4d-d7b8-4e46-b9f7-b76d926474a7: Sackin index -0.0702; 1.5 s; peak memory 420 MiB.
